C002-13 Split A Run 1 abs. SM5420C-030-A  Sensor ID 1 Socket No. 1.txt																																																							
C002-13	A	abs. 	1	SM5420C-030-A		1	1	2	75.0	1	15.00	0	5.000	20100	75.37	74.98	72.76	75.580	75.410	75.230	75.340	75.220	75.610	75.300	75.300	5.000672	17.935	floating	N/A	A	15.000600	0.000127	disabled	0.000000	0.000000	14.77090	28.12864	N/A	N/A	0.00120	28.12668	28.13030	0.00362	2.504481	2.518533	2.490430	0.90776	5508.820	0	0	0	0	0	2/5/2013	2:20:59 AM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	2	75.0	2	30.00	0	5.000	20200	75.46	75.01	72.73	75.660	75.520	75.300	75.450	75.300	75.710	75.380	75.400	5.000665	17.921	floating	N/A	A	30.000500	-0.000306	disabled	0.000000	0.000000	14.76970	69.82673	N/A	N/A	0.00111	69.82555	69.82861	0.00306	2.505085	2.539986	2.470184	0.90700	5513.425	0	0	0	0	0	2/5/2013	2:37:26 AM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	2	75.0	3	30.00	0	5.000	20300	75.38	74.98	72.68	75.590	75.430	75.230	75.360	75.230	75.620	75.310	75.310	5.000657	17.925	floating	N/A	A	29.998400	0.000096	disabled	0.000000	0.000000	14.76970	69.83411	N/A	N/A	0.00096	69.83303	69.83602	0.00299	2.505091	2.539995	2.470187	0.90723	5512.011	0	0	0	0	0	2/5/2013	2:49:01 AM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	2	75.0	4	15.00	0	5.000	20400	75.23	75.01	72.71	75.450	75.250	75.110	75.170	75.110	75.440	75.180	75.130	5.000656	17.942	floating	N/A	A	14.999000	0.000263	disabled	0.000000	0.000000	14.77030	28.13162	N/A	N/A	0.00063	28.13037	28.13248	0.00210	2.504516	2.518566	2.490466	0.90811	5506.651	0	0	0	0	0	2/5/2013	3:09:49 AM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	2	75.0	5	0.50	0	5.000	20500	75.08	74.98	72.73	75.320	75.070	74.980	74.990	74.990	75.260	75.060	74.970	5.000659	17.957	floating	N/A	A	0.500018	0.000208	disabled	0.000000	0.000000	14.76920	-12.14870	N/A	N/A	0.00097	-12.14992	-12.14686	0.00306	2.503929	2.497842	2.510016	0.90881	5502.431	0	0	0	0	0	2/5/2013	3:25:46 AM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	3	100.0	0	0.50	0	5.000	30000	99.82	100.01	98.80	100.110	99.790	99.760	99.700	99.700	100.030	99.780	99.680	5.000658	16.820	floating	N/A	A	0.499974	-0.000148	disabled	0.000000	0.000000	14.76310	-11.47454	N/A	N/A	0.00064	-11.47580	-11.47368	0.00211	2.502222	2.496471	2.507974	0.85110	5875.555	0	0	0	0	0	2/5/2013	5:39:36 AM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	3	100.0	1	15.00	0	5.000	30100	100.08	99.98	98.69	100.330	100.100	99.980	100.010	99.920	100.340	99.990	99.980	5.000649	16.801	floating	N/A	A	15.000900	0.000016	disabled	0.000000	0.000000	14.76290	26.94210	N/A	N/A	0.00113	26.94058	26.94364	0.00306	2.502788	2.516248	2.489329	0.85011	5882.377	0	0	0	0	0	2/5/2013	5:57:05 AM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	3	100.0	2	30.00	0	5.000	30200	100.15	100.01	98.72	100.400	100.180	100.030	100.090	99.970	100.430	100.050	100.060	5.000661	16.789	floating	N/A	A	30.000000	-0.000128	disabled	0.000000	0.000000	14.76370	66.75778	N/A	N/A	0.00112	66.75624	66.75909	0.00285	2.503337	2.536707	2.469968	0.84953	5886.416	0	0	0	0	0	2/5/2013	6:12:50 AM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	3	100.0	3	30.00	0	5.000	30300	100.08	99.98	98.38	100.340	100.100	99.970	100.000	99.910	100.340	99.990	99.980	5.000659	16.793	floating	N/A	A	29.999400	-0.000035	disabled	0.000000	0.000000	14.76500	66.77034	N/A	N/A	0.00119	66.76867	66.77178	0.00311	2.503321	2.536693	2.469949	0.84966	5885.471	0	0	0	0	0	2/5/2013	6:23:22 AM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	3	100.0	4	15.00	0	5.000	30400	99.92	100.01	98.72	100.200	99.920	99.840	99.820	99.790	100.150	99.860	99.800	5.000661	16.809	floating	N/A	A	15.000700	-0.000329	disabled	0.000000	0.000000	14.76540	26.97475	N/A	N/A	0.00131	26.97254	26.97631	0.00377	2.502745	2.516218	2.489272	0.85059	5879.070	0	0	0	0	0	2/5/2013	6:41:49 AM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	3	100.0	5	0.50	0	5.000	30500	99.82	99.98	98.96	100.110	99.800	99.760	99.700	99.710	100.040	99.790	99.690	5.000654	16.820	floating	N/A	A	0.500030	-0.000004	disabled	0.000000	0.000000	14.76810	-11.44707	N/A	N/A	0.00108	-11.44831	-11.44519	0.00312	2.502197	2.496459	2.507935	0.85100	5876.211	0	0	0	0	0	2/5/2013	6:57:26 AM
